Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,-9999,Year
1,Chris Holt,20,NYR,1,,0,0,0,0,2,2,1,0,0,0,10,,,,,,0,0,0,0,holtch01,2006
2,Cristobal Huet,30,MTL,36,,18,11,4,77,1085,1008,0.929,2.2,7,9.7,2103,,,,72,30.12,0,0,0,0,huetcr01,2006
3,Dominik Hašek*,41,OTT,43,,28,10,4,90,1202,1112,0.925,2.09,5,10.3,2584,,,,76,28.68,0,0,0,16,hasekdo01,2006
4,Jean-Sébastien Aubin,28,TOR,11,,9,0,2,25,330,305,0.924,2.21,1,2.8,677,,,,77,7.58,0,0,0,0,aubinje01,2006
5,Miikka Kiprusoff,29,CGY,74,,42,20,11,151,1951,1800,0.923,2.07,10,16.2,4380,,,,78,41.63,0,2,2,10,kiprumi01,2006
6,Henrik Lundqvist*,23,NYR,53,,30,12,9,116,1485,1369,0.922,2.24,2,12.2,3112,,,,79,30.62,0,2,2,0,lundqhe01,2006
7,Nolan Schaefer,26,SJS,7,,5,1,0,11,138,127,0.92,1.88,1,1.1,352,,,,,,0,0,0,2,schaeno01,2006
8,Manny Fernandez,31,MIN,58,,30,18,7,130,1612,1482,0.919,2.29,1,12.8,3411,,,,82,29.16,0,3,3,6,fernama01,2006
9,Tomáš Vokoun,29,NSH,61,,36,18,7,160,1984,1824,0.919,2.67,4,15.8,3601,,,,82,35.88,0,2,2,26,vokouto01,2006
10,Tim Thomas,31,BOS,38,,12,13,10,101,1213,1112,0.917,2.77,1,9.3,2187,,,,84,18.76,0,1,1,4,thomati01,2006
11,Manny Legace,32,DET,51,,37,8,3,106,1244,1138,0.915,2.19,7,9.3,2905,,,,86,16.82,0,1,1,0,legacma01,2006
12,Roberto Luongo*,26,FLA,75,,35,30,9,213,2488,2275,0.914,2.97,4,18.5,4305,,,,87,32.64,0,3,3,2,luongro01,2006
13,Ryan Miller,25,BUF,48,,30,14,3,124,1440,1316,0.914,2.6,1,10.6,2862,,,,87,18.17,0,2,2,0,millery01,2006
14,Hannu Toivonen,21,BOS,20,,9,5,4,51,590,539,0.914,2.63,1,4.3,1163,,,,88,7.25,0,0,0,6,toivoha01,2006
15,Chris Mason,29,NSH,23,,12,5,1,52,597,545,0.913,2.54,2,4.3,1227,,,,88,6.94,1,0,1,0,masonch02,2006
16,Martin Brodeur*,33,NJD,73,,43,23,7,187,2105,1918,0.911,2.57,5,14.9,4365,,,,90,20.83,0,3,3,4,brodema01,2006
17,Jean-Sébastien Giguère,28,MDA,60,,30,15,11,150,1692,1542,0.911,2.62,2,12,3381,,,,90,17.05,0,0,0,20,gigueje01,2006
18,Pascal Leclaire,23,CBJ,33,,11,15,3,97,1084,987,0.911,3.23,0,7.6,1804,,,,91,10.03,0,1,1,2,leclapa01,2006
19,Ilya Bryzgalov,25,MDA,31,,13,12,1,66,733,667,0.91,2.49,1,5.1,1575,,,,91,6.37,0,2,2,4,bryzgil01,2006
20,Yann Danis,24,MTL,6,,3,2,0,14,152,138,0.908,2.69,1,1,312,,,,,,0,0,0,0,danisya01,2006
21,Dwayne Roloson,36,TOT,43,,14,24,5,115,1256,1141,0.908,2.73,2,8.6,2524,,,,93,9.01,0,1,1,8,rolosdw01,2006
22,Curtis Sanford,26,STL,34,,13,13,5,81,885,804,0.908,2.66,3,6,1830,,,,93,6.38,0,0,0,0,sanfocu01,2006
23,Martin Gerber,31,CAR,60,,38,14,6,162,1719,1557,0.906,2.78,3,11.2,3493,,,,95,7.72,0,2,2,4,gerbema01,2006
24,Kari Lehtonen,22,ATL,38,,20,15,0,106,1123,1017,0.906,2.94,2,7.3,2166,,,,96,4.88,0,1,1,4,lehtoka01,2006
25,Jamie McLennan,34,FLA,17,,2,4,2,34,360,326,0.906,2.85,0,2.3,678,,,,96,1.54,0,0,0,0,mclenja01,2006
26,Martin Biron,28,BUF,35,,21,8,3,93,980,887,0.905,2.88,1,6.3,1934,,,,96,3.76,0,1,1,10,bironma01,2006
27,Brent Johnson,28,WSH,26,,9,12,1,81,854,773,0.905,3.44,1,5.5,1413,,,,96,3.32,0,0,0,14,johnsbr02,2006
28,Josh Harding,21,MIN,3,,2,1,0,8,83,75,0.904,2.59,1,0.5,185,,,,,,0,0,0,0,hardijo01,2006
29,Jimmy Howard,21,DET,4,,1,2,0,10,104,94,0.904,2.99,0,0.7,201,,,,,,0,0,0,0,howarja02,2006
30,Alex Auld,25,VAN,67,,33,26,6,189,1938,1749,0.902,2.94,0,12,3859,,,,99,2.34,0,2,2,4,auldal01,2006
31,Ray Emery,23,OTT,39,,23,11,4,102,1045,943,0.902,2.82,3,6.5,2168,,,,99,1.17,0,1,1,2,emeryra01,2006
32,Curtis Joseph,38,PHX,60,,32,21,3,166,1690,1524,0.902,2.91,4,10.3,3424,,,,99,0.86,0,1,1,18,josepcu01,2006
33,Vesa Toskala,28,SJS,37,,23,7,4,87,878,791,0.901,2.59,2,5.3,2039,,,,100,-0.31,0,1,1,4,toskave01,2006
34,Peter Budaj,23,COL,34,,14,10,6,86,864,778,0.9,2.87,2,5.2,1803,,,,101,-0.7,0,1,1,4,budajpe01,2006
35,Marc Denis,28,CBJ,49,,21,25,1,151,1505,1354,0.9,3.25,1,8.9,2786,,,,102,-2.41,0,1,1,2,denisma01,2006
36,Rick DiPietro,24,NYI,63,,30,24,5,180,1797,1617,0.9,3.02,1,10.6,3572,,,,101,-2.58,0,1,1,28,dipieri01,2006
37,Jason LaBarbera,26,LAK,29,,11,9,2,69,688,619,0.9,2.89,1,4.1,1433,,,,102,-1.07,0,1,1,0,labarja01,2006
38,Pekka Rinne,23,NSH,2,,1,1,0,4,40,36,0.9,3.8,0,0.2,63,,,,,,0,0,0,0,rinnepe01,2006
39,David Aebischer,27,TOT,50,,29,17,2,149,1473,1324,0.899,3.09,3,8.6,2895,,,,102,-3.57,0,3,3,16,aebisda01,2006
40,Jason Bacashihua,23,STL,19,,4,10,1,52,515,463,0.899,3.23,0,3,966,,,,102,-1.15,0,1,1,0,bacasja01,2006
41,Marc-André Fleury,21,PIT,50,,13,27,6,152,1485,1333,0.898,3.25,1,8.4,2809,,,,104,-5.38,0,1,1,0,fleurma01,2006
42,Johan Hedberg,32,DAL,19,,12,4,1,48,472,424,0.898,2.67,0,2.7,1079,,,,103,-1.4,0,2,2,6,hedbejo01,2006
43,Marty Turco,30,DAL,68,,41,19,5,166,1624,1458,0.898,2.55,3,9.2,3910,,,,104,-5.66,0,2,2,28,turcoma01,2006
44,Wade Dubielewicz,27,NYI,7,,2,3,0,15,145,130,0.897,2.9,0,0.8,310,,,,,,0,0,0,0,dubiewa01,2006
45,Robert Esche,28,PHI,40,,22,11,5,113,1099,986,0.897,2.97,1,6.2,2286,,,,104,-4.49,0,3,3,4,eschero01,2006
46,Chris Osgood,33,DET,32,,20,6,5,85,828,743,0.897,2.76,2,4.7,1846,,,,104,-3.25,0,0,0,8,osgooch01,2006
47,Olaf Kölzig,35,WSH,59,,20,28,11,206,1987,1781,0.896,3.53,0,11,3506,,,,105,-9.82,0,3,3,14,kolziol01,2006
48,Sean Burke,39,TBL,35,,14,10,4,80,764,684,0.895,2.8,2,4.1,1713,,,,106,-4.57,0,1,1,10,burkese01,2006
49,Antero Niittymäki,25,PHI,46,,23,15,6,133,1266,1133,0.895,2.97,2,6.8,2690,,,,106,-8.01,0,1,1,0,niittan01,2006
50,Mikael Tellqvist,26,TOR,25,,10,11,2,73,697,624,0.895,3.13,2,3.8,1399,,,,106,-4.18,0,0,0,0,tellqmi01,2006
51,Kevin Weekes,30,NYR,32,,14,14,3,91,867,776,0.895,2.86,0,4.7,1850,,,,106,-5.4,0,1,1,4,weekeke01,2006
52,Mathieu Garon,28,LAK,63,,31,26,3,185,1738,1553,0.894,3.22,4,9.1,3446,,,,108,-13.4,0,3,3,8,garonma01,2006
53,Maxime Ouellet,24,VAN,4,,0,2,1,12,113,101,0.894,3.25,0,0.6,222,,,,,,0,0,0,2,ouellma01,2006
54,Mike Dunham,33,ATL,17,,8,5,2,36,336,300,0.893,2.77,1,1.7,779,,,,109,-2.83,0,0,0,0,dunhami01,2006
55,Adam Munro,23,CHI,10,,3,5,2,25,234,209,0.893,3,1,1.2,501,,,,,,0,1,1,0,munroad01,2006
56,Ed Belfour*,40,TOR,49,,22,22,4,159,1476,1317,0.892,3.29,0,7.5,2897,,,,109,-13.27,0,1,1,12,belfoed01,2006
57,Dan Cloutier,29,VAN,13,,8,3,1,36,334,298,0.892,3.11,0,1.7,681,,,,109,-3.02,0,0,0,4,cloutda01,2006
58,John Grahame,30,TBL,57,,29,22,1,161,1450,1289,0.889,3.06,5,6.9,3152,,,,112,-17.84,0,1,1,14,grahajo01,2006
59,Vitali Kolesnik,26,COL,8,,3,3,0,20,178,158,0.888,3.24,0,0.8,370,,,,,,0,1,1,2,kolesvi01,2006
60,Craig Anderson,24,CHI,29,,6,12,4,86,757,671,0.886,3.32,1,3.4,1554,,,,115,-11.26,0,1,1,14,andercr01,2006
61,Nikolai Khabibulin,33,CHI,50,,17,26,6,157,1379,1222,0.886,3.35,0,6.2,2815,,,,115,-20.85,0,1,1,10,khabini01,2006
62,David LeNeveu,22,PHX,15,,3,8,2,44,386,342,0.886,3.24,0,1.7,814,,,,115,-5.89,0,0,0,0,lenevda01,2006
63,Garth Snow,36,NYI,20,,4,13,1,68,595,527,0.886,3.72,0,2.6,1096,,,,116,-9.25,0,0,0,2,snowga01,2006
64,Michael Garnett,23,ATL,24,,10,7,4,73,634,561,0.885,3.44,2,2.7,1271,,,,117,-10.4,0,2,2,0,garnemi01,2006
65,Evgeni Nabokov,30,SJS,45,,16,19,7,133,1160,1027,0.885,3.1,1,5.1,2575,,,,116,-18.47,0,1,1,18,nabokev01,2006
66,Adam Berkhoel,24,ATL,9,,2,4,1,30,255,225,0.882,3.8,0,1,473,,,,,,0,0,0,0,berkhad01,2006
67,Gerald Coleman,20,TBL,2,,0,0,1,2,17,15,0.882,2.77,0,0.1,43,,,,,,0,0,0,0,colemge01,2006
68,Mike Morrison,26,TOT,25,,11,4,3,54,457,403,0.882,2.95,0,1.8,1099,,,,120,-8.88,0,1,1,2,morrimi01,2006
69,Philippe Sauvé,25,TOT,13,,3,7,0,39,330,291,0.882,3.97,0,1.3,589,,,,120,-6.42,0,0,0,21,sauveph01,2006
70,José Théodore,29,TOT,43,,18,18,6,137,1158,1021,0.882,3.41,0,4.6,2410,,,,120,-22.67,0,1,1,2,theodjo01,2006
71,Cam Ward,21,CAR,28,,14,8,2,91,773,682,0.882,3.68,0,3.1,1484,,,,119,-14.68,0,2,2,0,wardca01,2006
72,Sébastien Caron,25,PIT,26,,8,9,5,87,733,646,0.881,3.98,1,2.9,1312,,,,120,-14.63,0,1,1,0,caronse01,2006
73,Scott Clemmensen,28,NJD,13,,3,4,2,35,295,260,0.881,3.35,0,1.2,627,,,,,,0,0,0,0,clemmsc01,2006
74,Patrick Lalime,31,STL,31,,4,18,8,103,868,765,0.881,3.64,0,3.4,1699,,,,120,-17.3,0,0,0,0,lalimpa01,2006
75,Ty Conklin,29,EDM,18,,8,5,1,43,359,316,0.88,2.8,1,1.4,922,,,,121,-7.56,0,0,0,2,conklty01,2006
76,Jussi Markkanen,30,EDM,37,,15,12,6,105,873,768,0.88,3.13,0,3.3,2016,,,,122,-18.81,0,1,1,0,markkju01,2006
77,Martin Prusek,30,CBJ,9,,3,3,0,20,165,145,0.879,3.21,0,0.6,373,,,,,,0,0,0,0,prusema01,2006
78,Andrew Raycroft,25,BOS,30,,8,19,2,100,824,724,0.879,3.72,0,3,1619,,,,123,-18.64,0,0,0,0,raycran01,2006
79,Corey Crawford,21,CHI,2,,0,0,1,5,41,36,0.878,3.47,0,0.1,86,,,,,,0,0,0,0,crawfco01,2006
80,Jocelyn Thibault,31,PIT,16,,1,9,3,60,484,424,0.876,4.47,0,1.6,807,,,,126,-12.21,0,0,0,2,thibajo01,2006
81,Brian Boucher,29,TOT,14,,4,8,0,48,371,323,0.871,4.15,0,1.1,694,,,,131,-11.37,0,0,0,2,bouchbr01,2006
82,Frédéric Cassivi,30,WSH,1,,0,1,0,4,30,26,0.867,4.09,0,0.1,59,,,,,,0,0,0,0,cassifr01,2006
83,Mika Noronen,26,TOT,8,,2,3,0,22,154,132,0.857,3.9,0,0.2,339,,,,,,0,0,0,2,noronmi01,2006
84,Steve Shields,33,ATL,5,,1,2,1,19,129,110,0.853,4.28,0,0.1,266,,,,,,0,0,0,0,shielst01,2006
85,Brian Eklund,25,TBL,1,,0,1,0,3,19,16,0.842,3.09,0,0,58,,,,,,0,0,0,0,eklunbr01,2006
86,Reinhard Divis,30,STL,12,,0,5,1,37,231,194,0.84,4.67,0,-0.1,475,,,,,,0,0,0,0,divisre01,2006
87,Brian Finley,24,NSH,1,,0,1,0,7,41,34,0.829,7,0,-0.1,60,,,,,,0,0,0,0,finlebr01,2006
88,Adam Hauser,25,LAK,1,,0,0,0,6,24,18,0.75,7.08,0,-0.2,51,,,,,,0,0,0,0,hausead01,2006
89,Dany Sabourin,25,PIT,1,,0,1,0,4,14,10,0.714,11.68,0,-0.2,21,,,,,,0,0,0,0,sabouda01,2006
1,Josh Harding,22,MIN,7,,3,2,1,7,174,167,0.96,1.16,1,2.1,361,,,,,,0,0,0,0,hardijo01,2007
2,Sébastien Caron,26,TOT,2,,1,0,0,2,31,29,0.935,1.36,0,0.3,88,,,,,,0,0,0,0,caronse01,2007
3,Wade Dubielewicz,28,NYI,8,,4,1,0,13,198,185,0.934,2.06,0,1.8,379,,,,,,0,0,0,0,dubiewa01,2007
4,Craig Anderson,25,FLA,5,,1,1,1,8,116,108,0.931,2.21,0,1,217,,,,,,0,0,0,0,andercr01,2007
5,Niklas Bäckström,28,MIN,41,,23,8,6,73,1028,955,0.929,1.97,5,9,2227,,,,75,24.41,0,1,1,2,backsni01,2007
6,Tomáš Pöpperle,22,CBJ,2,,0,0,0,1,14,13,0.929,1.35,0,0.1,45,,,,,,0,0,0,0,poppeto01,2007
7,Chris Mason,30,NSH,40,,24,11,4,93,1244,1151,0.925,2.38,5,10.4,2342,,,,79,24.88,0,1,1,4,masonch02,2007
8,Martin Brodeur*,34,NJD,78,,48,23,7,171,2182,2011,0.922,2.18,12,17.3,4697,,,,83,35.76,0,1,1,12,brodema01,2007
9,Roberto Luongo*,27,VAN,76,,47,22,6,171,2169,1998,0.921,2.28,5,17.1,4490,,,,83,34.53,0,2,2,10,luongro01,2007
10,Tomáš Vokoun,30,NSH,44,,27,12,4,104,1299,1195,0.92,2.4,5,10.1,2601,,,,84,19.09,0,2,2,4,vokouto01,2007
11,Rick DiPietro,25,NYI,62,,32,19,9,156,1917,1761,0.919,2.58,5,14.6,3627,,,,86,25.65,0,2,2,24,dipieri01,2007
12,Ray Emery,24,OTT,58,,33,16,6,138,1691,1553,0.918,2.47,5,12.8,3351,,,,86,22.24,0,1,1,30,emeryra01,2007
13,Jean-Sébastien Giguère,29,ANA,56,,36,10,8,122,1490,1368,0.918,2.26,4,11.2,3245,,,,86,19.19,0,2,2,0,gigueje01,2007
14,Miikka Kiprusoff,30,CGY,74,,40,24,9,181,2190,2009,0.917,2.46,7,16.3,4419,,,,87,26.52,0,0,0,2,kiprumi01,2007
15,Henrik Lundqvist*,24,NYR,70,,37,22,8,160,1927,1767,0.917,2.34,5,14.3,4109,,,,88,22.6,0,0,0,0,lundqhe01,2007
16,Cristobal Huet,31,MTL,42,,19,16,3,107,1280,1173,0.916,2.81,2,9.4,2286,,,,88,14.29,0,1,1,0,huetcr01,2007
17,Evgeni Nabokov,31,SJS,50,,25,16,4,106,1227,1121,0.914,2.29,7,8.6,2778,,,,91,10.27,0,0,0,6,nabokev01,2007
18,Dominik Hašek*,42,DET,56,,38,11,6,114,1309,1195,0.913,2.05,8,9.1,3341,,,,92,10.04,0,2,2,20,hasekdo01,2007
19,Kari Lehtonen,23,ATL,68,,34,24,9,183,2075,1892,0.912,2.79,4,14.2,3934,,,,93,13.62,0,1,1,6,lehtoka01,2007
20,Mike Smith,24,DAL,23,,12,5,2,45,511,466,0.912,2.23,3,3.5,1213,,,,93,3.42,0,0,0,2,smithmi01,2007
21,Manny Fernandez,32,MIN,44,,22,16,1,103,1158,1055,0.911,2.55,2,7.8,2422,,,,94,6.73,0,0,0,12,fernama01,2007
22,Ryan Miller,26,BUF,63,,40,16,6,168,1886,1718,0.911,2.73,2,12.7,3692,,,,94,10.71,0,2,2,2,millery01,2007
23,Olaf Kölzig,36,WSH,54,,22,24,6,159,1771,1612,0.91,3,1,11.8,3184,,,,95,8.82,0,3,3,10,kolziol01,2007
24,Marty Turco,31,DAL,67,,38,20,5,140,1564,1424,0.91,2.23,6,10.5,3764,,,,94,8.2,0,4,4,18,turcoma01,2007
25,Brian Finley,25,BOS,2,,0,1,0,3,33,30,0.909,3.04,0,0.2,59,,,,,,0,0,0,0,finlebr01,2007
26,Dwayne Roloson,37,EDM,68,,27,34,6,180,1969,1789,0.909,2.75,4,12.8,3932,,,,96,6.58,0,3,3,12,rolosdw01,2007
27,Jocelyn Thibault,32,PIT,22,,7,8,2,52,572,520,0.909,2.83,1,3.7,1101,,,,96,2.2,0,0,0,0,thibajo01,2007
28,Vesa Toskala,29,SJS,38,,26,10,1,84,915,831,0.908,2.35,4,5.9,2142,,,,97,2.7,0,3,3,0,toskave01,2007
29,Ilya Bryzgalov,26,ANA,27,,10,8,6,62,668,606,0.907,2.47,1,4.2,1509,,,,98,1.3,0,0,0,0,bryzgil01,2007
30,Mathieu Garon,29,LAK,32,,13,10,6,79,849,770,0.907,2.66,2,5.3,1779,,,,98,1.45,0,1,1,6,garonma01,2007
31,Manny Legace,33,STL,45,,23,15,5,109,1177,1068,0.907,2.59,5,7.5,2522,,,,98,2.53,0,0,0,2,legacma01,2007
32,Chris Osgood,34,DET,21,,11,3,6,46,496,450,0.907,2.38,0,3.1,1161,,,,98,1,0,1,1,6,osgooch01,2007
33,Marc-André Fleury,22,PIT,67,,40,16,9,184,1954,1770,0.906,2.83,5,12.1,3905,,,,99,1.16,0,3,3,4,fleurma01,2007
34,Martin Gerber,32,OTT,29,,15,9,3,74,784,710,0.906,2.78,1,4.8,1599,,,,100,0.29,0,0,0,0,gerbema01,2007
35,Jaroslav Halák,21,MTL,16,,10,6,0,44,469,425,0.906,2.89,2,2.9,912,,,,99,0.44,0,1,1,2,halakja01,2007
36,Dany Sabourin,26,VAN,9,,2,4,1,21,224,203,0.906,2.63,0,1.4,480,,,,,,0,0,0,0,sabouda01,2007
37,Peter Budaj,24,COL,57,,31,16,6,143,1499,1356,0.905,2.68,3,9.1,3199,,,,101,-0.96,0,2,2,0,budajpe01,2007
38,Tim Thomas,32,BOS,66,,30,29,4,189,1985,1796,0.905,3.13,3,12,3619,,,,100,-0.9,0,0,0,6,thomati01,2007
39,Fredrik Norrena,33,CBJ,55,,24,23,3,137,1420,1283,0.904,2.79,3,8.4,2952,,,,102,-2.44,0,0,0,6,norrefr01,2007
40,Martin Biron,29,TOT,35,,18,12,3,101,1042,941,0.903,3.03,0,6.1,2001,,,,102,-2.26,0,0,0,25,bironma01,2007
41,Ed Belfour*,41,FLA,58,,27,17,10,152,1550,1398,0.902,2.77,1,8.9,3289,,,,103,-5.12,0,2,2,10,belfoed01,2007
42,Nikolai Khabibulin,34,CHI,60,,25,26,5,163,1668,1505,0.902,2.86,1,9.6,3425,,,,103,-4.94,0,0,0,8,khabini01,2007
43,Sean Burke,40,LAK,23,,6,10,5,68,687,619,0.901,3.12,1,3.9,1310,,,,104,-2.9,0,1,1,4,burkese01,2007
44,David Aebischer,28,MTL,32,,13,12,3,93,929,836,0.9,3.17,0,5.1,1760,,,,106,-4.97,0,0,0,2,aebisda01,2007
45,Johan Hedberg,33,ATL,21,,9,4,2,51,500,449,0.898,2.89,0,2.7,1057,,,,108,-3.62,0,1,1,6,hedbejo01,2007
46,Frédéric Cassivi,31,WSH,4,,0,1,1,6,58,52,0.897,2.6,0,0.3,139,,,,,,0,0,0,0,cassifr01,2007
47,John Grahame,31,CAR,28,,10,13,2,72,702,630,0.897,2.85,0,3.7,1515,,,,108,-5.48,0,3,3,2,grahajo01,2007
48,Pascal Leclaire,24,CBJ,24,,6,15,2,65,629,564,0.897,2.97,1,3.2,1315,,,,109,-5.4,0,0,0,2,leclapa01,2007
49,Cam Ward,22,CAR,60,,30,21,6,167,1625,1458,0.897,2.93,2,8.5,3422,,,,108,-13.02,0,1,1,6,wardca01,2007
50,Jason Bacashihua,24,STL,19,,3,7,3,47,450,403,0.896,3.16,0,2.3,894,,,,110,-4.36,0,0,0,2,bacasja01,2007
51,Patrick Lalime,32,CHI,12,,4,6,1,33,317,284,0.896,3.07,1,1.6,645,,,,,,0,0,0,0,lalimpa01,2007
52,Jamie McLennan,35,CGY,9,,3,5,1,32,304,272,0.895,3.6,0,1.5,533,,,,,,0,0,0,16,mclenja01,2007
53,David LeNeveu,23,PHX,6,,2,1,0,15,142,127,0.894,3.86,0,0.7,233,,,,,,0,0,0,0,lenevda01,2007
54,Joey MacDonald,26,TOT,15,,3,7,2,43,406,363,0.894,3.12,0,2,826,,,,112,-4.53,0,0,0,0,macdojo01,2007
55,Antero Niittymäki,26,PHI,52,,9,29,9,166,1567,1401,0.894,3.38,0,7.6,2943,,,,112,-17.51,0,0,0,2,niittan01,2007
56,Andrew Raycroft,26,TOR,72,,37,25,9,205,1931,1726,0.894,2.99,2,9.4,4108,,,,112,-22.02,0,1,1,8,raycran01,2007
57,Johan Holmqvist,28,TBL,48,,27,15,3,121,1134,1013,0.893,2.85,1,5.4,2548,,,,113,-13.54,0,3,3,4,holmqjo01,2007
58,Curtis Joseph,39,PHX,55,,18,31,2,159,1481,1322,0.893,3.19,4,7,2993,,,,113,-18.66,0,0,0,10,josepcu01,2007
59,José Théodore,30,COL,33,,13,15,1,95,870,775,0.891,3.26,0,3.9,1748,,,,115,-12.56,0,1,1,6,theodjo01,2007
60,Scott Clemmensen,29,NJD,6,,1,1,2,16,144,128,0.889,3.14,0,0.6,305,,,,,,0,0,0,0,clemmsc01,2007
61,Mike Dunham,34,NYI,19,,4,10,3,61,552,491,0.889,3.74,0,2.4,979,,,,117,-8.69,0,1,1,0,dunhami01,2007
62,Brent Johnson,29,WSH,30,,6,15,7,99,894,795,0.889,3.62,0,3.9,1644,,,,117,-14.29,0,1,1,4,johnsbr02,2007
63,Alex Auld,26,FLA,27,,7,13,5,82,729,647,0.888,3.35,1,3,1471,,,,119,-12.92,0,1,1,2,auldal01,2007
64,Curtis Sanford,27,STL,31,,8,12,5,79,707,628,0.888,3.19,0,3,1492,,,,118,-12.01,0,0,0,0,sanfocu01,2007
65,Jussi Markkanen,31,EDM,22,,5,9,1,52,457,405,0.886,3.14,0,1.8,992,,,,120,-8.7,0,0,0,0,markkju01,2007
66,Mikael Tellqvist,27,TOT,31,,11,12,3,92,799,707,0.885,3.34,2,3.1,1650,,,,122,-16.29,0,1,1,0,tellqmi01,2007
67,Marc Denis,29,TBL,44,,17,18,2,125,1068,943,0.883,3.19,1,3.9,2353,,,,124,-23.8,0,0,0,2,denisma01,2007
68,Brian Boucher,30,TOT,18,,2,11,3,54,456,402,0.882,3.34,1,1.6,969,,,,125,-10.79,0,0,0,0,bouchbr01,2007
69,Marek Schwarz,20,STL,2,,0,1,0,3,25,22,0.88,3,0,0.1,60,,,,,,0,0,0,0,schwama01,2007
70,Ty Conklin,30,TOT,16,,3,5,2,40,330,290,0.879,3.34,0,1.1,718,,,,128,-8.73,0,0,0,2,conklty01,2007
71,Kevin Weekes,31,NYR,14,,4,6,2,43,355,312,0.879,3.39,0,1.1,761,,,,128,-9.36,0,0,0,0,weekeke01,2007
72,Barry Brust,23,LAK,11,,2,4,1,30,245,215,0.878,3.7,0,0.7,486,,,,,,0,0,0,0,brustba01,2007
73,Michael Wall,21,ANA,4,,2,2,0,10,81,71,0.877,2.97,0,0.2,202,,,,,,0,1,1,0,wallmi01,2007
74,Jean-Sébastien Aubin,29,TOR,20,,3,5,2,46,371,325,0.876,3.43,0,1.1,804,,,,131,-10.84,0,0,0,0,aubinje01,2007
75,Michael Leighton,25,TOT,5,,2,2,0,14,112,98,0.875,3.92,0,0.3,215,,,,,,0,0,0,0,leighmi01,2007
76,Hannu Toivonen,22,BOS,18,,3,9,1,63,502,439,0.875,4.23,0,1.4,894,,,,132,-15.43,0,0,0,2,toivoha01,2007
77,Robert Esche,29,PHI,18,,5,9,1,62,483,421,0.872,4.32,1,1.2,860,,,,135,-16.23,0,2,2,2,eschero01,2007
78,Steve Valiquette,29,NYR,3,,1,2,0,6,45,39,0.867,3.14,0,0.1,115,,,,,,0,0,0,0,valiqst01,2007
79,Dan Cloutier,30,LAK,24,,6,14,2,85,608,523,0.86,3.98,0,0.7,1281,,,,148,-27.39,0,1,1,21,cloutda01,2007
80,Yutaka Fukufuji,24,LAK,4,,0,3,0,7,43,36,0.837,4.37,0,-0.1,96,,,,,,0,0,0,0,fukufyu01,2007
81,Karri Rämö,20,TBL,2,,0,0,0,4,23,19,0.826,3.45,0,-0.1,70,,,,,,0,0,0,0,ramoka01,2007
82,Philippe Sauvé,26,BOS,2,,0,0,0,4,23,19,0.826,5.8,0,-0.1,41,,,,,,0,0,0,0,sauveph01,2007
83,Mike Morrison,27,PHX,4,,0,3,0,13,62,49,0.79,6.13,0,-0.4,127,,,,,,0,0,0,0,morrimi01,2007
84,Martin Houle,21,PHI,1,,0,0,0,1,3,2,0.667,27.27,0,-0.1,2,,,,,,0,0,0,0,houlema01,2007
1,Matt Keetley,21,CGY,1,0,0,0,0,0,2,2,1,0,0,0,9,0,,0,,,0,0,0,0,keetlma01,2008
2,Dan LaCosta,21,CBJ,1,0,0,0,0,0,5,5,1,0,0,0.1,13,0,,0,,,0,0,0,0,lacosda01,2008
3,Pekka Rinne,25,NSH,1,0,0,0,0,0,8,8,1,0,0,0.1,29,0,,0,,,0,0,0,0,rinnepe01,2008
4,Tyler Weiman,23,COL,1,0,0,0,0,0,10,10,1,0,0,0.2,16,0,,0,,,0,0,0,0,weimaty01,2008
5,Brian Elliott,22,OTT,1,1,1,0,0,1,29,28,0.966,1.01,0,0.4,60,1,1,0,,,0,0,0,0,elliobr01,2008
6,Tobias Stephan,24,DAL,1,1,0,0,1,2,40,38,0.95,1.98,0,0.4,61,1,1,0,,,0,0,0,0,stephto01,2008
7,Craig Anderson,26,FLA,17,13,8,6,1,35,535,500,0.935,2.25,2,4.9,935,9,0.692,1,72,13.6,0,1,1,2,andercr01,2008
8,Jaroslav Halák,22,MTL,6,4,2,1,1,10,151,141,0.934,2.11,1,1.4,285,2,0.5,0,,,0,0,0,0,halakja01,2008
9,Brian Boucher,31,SJS,5,3,3,1,1,7,103,96,0.932,1.76,1,0.9,238,3,1,0,,,0,0,0,0,bouchbr01,2008
10,Corey Crawford,23,CHI,5,3,1,2,0,8,112,104,0.929,2.14,1,0.9,224,2,0.667,0,,,0,0,0,0,crawfco01,2008
11,Erik Ersberg,25,LAK,14,13,6,5,3,33,452,419,0.927,2.48,2,3.7,799,8,0.615,2,80,8.06,0,0,0,0,ersbeer01,2008
12,Jonas Hiller,25,ANA,23,18,10,7,1,42,578,536,0.927,2.06,0,4.8,1223,12,0.667,1,80,10.51,0,1,1,0,hillejo01,2008
13,Jimmy Howard,23,DET,4,2,0,2,0,7,95,88,0.926,2.13,0,0.8,197,1,0.5,0,,,0,0,0,0,howarja02,2008
14,Dan Ellis,27,NSH,44,37,23,10,3,87,1147,1060,0.924,2.34,6,9.1,2229,23,0.622,8,83,17.2,0,0,0,0,ellisda01,2008
