Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999,Season
4,Nicklas Bäckström,22,WSH,C,82,33,68,101,37,50,12.2,22,11,0,4,42,26,0,222,14.9,1677,20:27,61,90,657,660,49.9,backsni02,2010
5,Steven Stamkos,19,TBL,C,82,51,44,95,-2,38,12.8,26,24,1,5,27,17,0,297,17.2,1685,20:33,38,68,475,517,47.9,stamkst01,2010
6,Martin St. Louis*,34,TBL,RW,82,29,65,94,-8,12,9.9,21,7,1,7,35,30,0,242,12,1788,21:49,40,19,71,85,45.5,stlouma01,2010
7,Brad Richards,29,DAL,C,80,24,67,91,-12,14,8.9,11,13,0,2,40,27,0,284,8.5,1669,20:52,22,16,587,553,51.5,richabr01,2010
8,Joe Thornton,30,SJS,C,79,20,69,89,17,54,9.6,15,4,1,2,42,25,2,141,14.2,1569,19:51,29,113,662,566,53.9,thornjo01,2010
9,Patrick Kane,21,CHI,RW,82,30,58,88,16,20,10.3,21,9,0,6,37,20,1,261,11.5,1574,19:12,17,17,9,13,40.9,kanepa01,2010
10,Marián Gáborík,27,NYR,RW,76,42,44,86,15,37,12.1,27,14,1,4,31,12,1,272,15.4,1615,21:15,31,59,2,5,28.6,gaborma01,2010
11,Ilya Kovalchuk,26,TOT,LW,76,41,44,85,10,53,11,29,12,0,4,29,15,0,290,14.1,1675,22:02,20,30,7,23,23.3,kovalil01,2010
12,Daniel Sedin*,29,VAN,LW,63,29,56,85,36,28,11.4,21,8,0,8,43,13,0,225,12.9,1206,19:08,3,8,11,22,33.3,sedinda01,2010
13,Alexander Semin,25,WSH,LW,73,40,44,84,36,66,11.7,30,8,2,5,25,19,0,278,14.4,1396,19:07,20,30,6,10,37.5,seminal01,2010
14,Patrick Marleau,30,SJS,C,82,44,39,83,21,22,11.4,28,12,4,6,26,13,0,274,16.1,1739,21:13,33,76,316,299,51.4,marlepa01,2010
15,Dany Heatley,29,SJS,RW,82,39,43,82,14,54,10.6,20,18,1,9,31,12,0,280,13.9,1659,20:14,35,81,14,21,40,heatlda01,2010
16,Zach Parise,25,NJD,C,81,38,44,82,24,32,11.5,28,9,1,5,27,17,0,347,11,1602,19:46,34,108,18,30,37.5,parisza01,2010
17,Anže Kopitar,22,LAK,C,82,34,47,81,6,16,9.5,19,14,1,2,23,24,0,259,13.1,1786,21:47,50,78,592,602,49.6,kopitan01,2010
18,Paul Stastny,24,COL,C,81,20,59,79,2,50,7.4,11,9,0,2,43,16,0,199,10.1,1733,21:24,53,42,851,852,50,stastpa01,2010
19,Evgeni Malkin,23,PIT,C,67,28,49,77,-6,100,8.5,13,13,2,7,33,15,1,268,10.4,1397,20:51,25,58,199,295,40.3,malkiev01,2010
20,Mike Green,24,WSH,D,75,19,57,76,39,54,13,9,10,0,4,31,25,1,205,9.3,1911,25:29:00,105,133,0,0,,greenmi03,2010
1,Evgeni Malkin,22,PIT,C,82,35,78,113,17,80,12.6,19,14,2,4,51,27,0,290,12.1,1846,22:31,39,80,283,385,42.4,malkiev01,2009
2,Alex Ovechkin,23,WSH,LW,79,56,54,110,8,72,14.5,36,19,1,10,27,27,0,528,10.6,1817,23:00,32,243,8,24,25,ovechal01,2009
3,Sidney Crosby,21,PIT,C,77,33,70,103,3,76,11.1,26,7,0,3,36,33,1,238,13.9,1690,21:57,42,80,829,786,51.3,crosbsi01,2009
4,Pavel Datsyuk,30,DET,C,81,32,65,97,34,22,11.5,20,11,1,3,39,25,1,248,12.9,1556,19:13,33,75,621,489,55.9,datsypa01,2009
5,Zach Parise,24,NJD,LW,82,45,49,94,30,24,12.8,31,14,0,8,30,16,3,364,12.4,1538,18:45,17,65,54,66,45,parisza01,2009
6,Ryan Getzlaf,23,ANA,C,81,25,66,91,5,121,9.2,16,9,0,2,38,28,0,227,11,1631,20:08,43,134,566,562,50.2,getzlry01,2009
7,Ilya Kovalchuk,25,ATL,LW,79,43,48,91,-12,50,10.3,31,12,0,6,23,24,1,275,15.6,1723,21:48,15,43,5,9,35.7,kovalil01,2009
8,Jarome Iginla*,31,CGY,RW,82,35,54,89,-2,37,9.5,25,10,0,4,32,22,0,289,12.1,1772,21:37,15,80,262,235,52.7,iginlja01,2009
9,Nicklas Bäckström,21,WSH,C,82,22,66,88,16,46,9.2,8,14,0,1,38,28,0,174,12.6,1635,19:57,46,52,570,601,48.7,backsni02,2009
10,Marc Savard,31,BOS,C,82,25,63,88,25,70,9.8,16,9,0,5,40,21,2,213,11.7,1602,19:32,19,24,635,641,49.8,savarma01,2009
11,Joe Thornton,29,SJS,C,82,25,61,86,16,56,9.5,14,11,0,3,37,24,0,139,18,1596,19:28,24,81,718,577,55.4,thornjo01,2009
12,Jeff Carter,24,PHI,C,82,46,38,84,23,68,11.7,29,13,4,12,27,11,0,342,13.5,1718,20:57,53,54,833,892,48.3,carteje01,2009
13,Mike Cammalleri,26,CGY,LW,81,39,43,82,-2,44,9.8,20,19,0,6,28,15,0,255,15.3,1422,17:33,18,21,217,143,60.3,cammami01,2009
14,Daniel Sedin*,28,VAN,LW,82,31,51,82,24,36,9.9,22,9,0,7,36,15,0,285,10.9,1541,18:48,15,13,14,19,42.4,sedinda01,2009
